item,truth
0,0
1,2
2,0
3,2
4,2
5,2
6,2
7,3
8,3
9,3
10,3
11,1
12,3
13,1
14,1
15,0
16,1
17,3
18,0
19,1
20,3
21,3
22,2
23,2
24,0
25,3
26,3
27,0
28,1
29,3
30,3
31,0
32,2
33,0
34,3
35,1
36,1
37,2
38,2
39,3
40,1
41,3
42,1
43,1
44,3
45,3
46,3
47,4
48,2
49,3
50,2
51,3
52,3
53,2
54,3
55,1
56,2
57,2
58,0
59,1
60,3
61,2
62,2
63,2
64,1
65,1
66,4
67,3
68,3
69,2
70,1
71,0
72,0
73,3
74,0
75,2
76,3
77,3
78,2
79,2
80,2
81,1
82,0
83,3
84,0
85,0
86,0
87,2
88,0
89,3
90,0
91,2
92,1
93,2
94,3
95,3
96,0
97,0
98,1
99,3
100,1
101,2
102,1
103,3
104,0
105,3
106,1
107,2
108,3
109,2
110,3
111,0
112,4
113,1
114,1
115,0
116,0
117,0
118,2
119,2
120,1
121,1
122,0
123,0
124,3
125,2
126,1
127,2
128,0
129,1
130,0
131,3
132,3
133,3
134,1
135,2
136,3
137,2
138,1
139,3
140,1
141,0
142,3
143,0
144,2
145,2
146,2
147,4
148,3
149,3
150,1
151,2
152,3
153,1
154,3
155,3
156,2
157,2
158,2
159,3
160,1
161,1
162,3
163,0
164,1
165,3
166,0
167,0
168,3
169,3
170,3
171,3
172,1
173,2
174,3
175,2
176,3
177,1
178,2
179,0
180,3
181,1
182,4
183,1
184,1
185,3
186,2
187,3
188,0
189,2
190,3
191,3
192,0
193,3
194,2
195,3
196,2
197,0
198,2
199,2
200,1
201,1
202,3
203,1
204,3
205,3
206,4
207,3
208,2
209,3
210,2
211,1
212,0
213,1
214,3
215,0
216,2
217,1
218,0
219,2
220,3
221,1
222,0
223,3
224,1
225,3
226,3
227,1
228,1
229,4
230,2
231,2
232,1
233,1
234,2
235,0
236,0
237,3
238,2
239,1
240,0
241,2
242,1
243,2
244,0
245,0
246,2
247,0
248,1
249,2
250,1
251,3
252,0
253,1
254,3
255,2
256,3
257,2
258,0
259,1
260,0
261,0
262,3
263,3
264,2
265,2
266,1
267,1
268,1
269,0
270,3
271,0
272,1
273,1
274,4
275,3
276,1
277,3
278,0
279,1
280,2
281,3
282,1
283,2
284,0
285,3
286,0
287,2
288,1
289,2
290,3
291,4
292,2
293,3
294,3
295,1
296,3
297,3
298,1
299,3
