item,worker,label
0,0,4
0,1,4
0,2,4
1,0,2
1,1,1
2,0,3
2,1,2
2,2,2
3,2,4
3,3,4
3,4,4
4,2,4
4,3,4
4,4,4
5,2,4
5,3,4
5,4,4
6,4,3
7,0,5
7,2,5
8,0,4
8,2,4
9,3,1
9,5,3
10,3,0
10,5,0
11,3,4
11,5,4
12,6,4
12,3,4
12,4,4
12,7,4
13,8,0
13,3,0
14,8,0
14,3,0
15,0,2
16,0,2
17,0,3
18,0,1
18,2,1
19,0,3
19,2,2
19,3,2
19,9,2
20,0,2
20,2,1
20,3,3
20,9,3
21,8,0
21,10,0
22,8,0
22,10,0
23,10,3
24,8,1
25,8,0
26,2,5
27,8,2
27,3,1
27,7,2
27,11,3
28,1,2
28,3,1
29,0,2
29,2,2
29,8,2
30,0,2
30,2,2
30,8,1
31,3,5
31,5,5
31,12,5
31,13,5
32,3,2
32,5,3
32,12,2
32,13,2
33,0,3
33,2,2
33,4,2
34,0,2
34,2,3
34,5,2
34,4,2
35,4,2
35,14,4
35,11,2
36,2,0
36,4,0
36,14,2
36,11,0
37,2,4
37,4,4
38,2,1
38,8,1
38,4,1
39,0,0
39,2,0
39,8,3
39,4,0
40,8,1
41,8,0
42,2,4
43,2,0
44,0,3
44,8,3
45,2,1
45,3,3
46,6,2
47,6,3
48,6,1
48,3,3
48,15,2
49,2,1
49,8,3
49,3,3
49,16,2
49,13,2
50,2,4
50,8,4
50,3,4
50,16,4
50,13,4
51,2,4
51,3,4
51,16,4
51,13,4
52,13,2
53,2,4
53,11,2
53,15,4
54,3,0
54,4,0
54,17,0
55,3,4
55,4,4
55,17,4
56,7,5
57,2,0
57,8,0
57,18,0
58,2,3
58,8,2
58,18,1
59,2,0
59,18,4
60,2,1
60,3,1
60,11,3
61,2,5
61,8,5
62,2,5
63,0,4
63,12,4
63,7,4
64,0,2
65,0,2
65,2,2
65,8,2
66,0,2
66,2,2
67,8,4
67,16,4
68,8,2
68,16,2
69,8,5
69,16,4
70,0,0
70,6,0
71,8,0
71,3,0
72,3,3
73,0,3
73,2,2
73,6,2
74,0,1
74,2,2
74,6,3
75,0,2
75,2,3
75,6,2
76,0,3
76,2,1
76,3,1
76,16,3
77,0,3
77,2,2
77,3,3
77,16,3
78,0,2
78,2,2
78,8,3
78,19,2
79,0,4
79,2,4
80,2,5
80,3,5
80,4,5
81,2,3
81,3,3
81,4,2
82,0,5
82,2,5
82,4,5
83,0,0
83,2,0
83,4,0
84,0,5
84,2,5
84,4,5
85,0,3
85,20,1
86,20,2
87,6,3
87,11,1
88,0,2
88,8,2
88,6,2
88,3,2
88,4,2
89,2,1
89,8,1
89,16,1
90,2,3
90,3,1
91,2,0
91,3,0
91,5,0
91,13,0
92,2,0
92,3,0
92,5,0
92,13,0
92,17,0
93,2,1
93,3,3
93,5,1
93,17,1
94,0,4
94,2,4
94,8,4
94,4,4
94,7,4
95,0,4
95,2,4
95,8,1
95,4,4
95,7,4
96,17,0
97,17,2
98,17,2
99,6,5
100,6,2
101,2,2
102,0,3
102,5,2
103,0,0
103,5,0
104,0,0
104,6,3
104,5,0
104,21,0
105,0,4
105,6,4
105,5,4
105,21,5
106,2,2
106,3,3
106,4,2
106,14,2
106,17,2
106,20,2
107,2,2
107,3,3
107,4,1
107,14,1
107,17,1
108,0,4
108,6,4
109,0,5
109,1,5
109,17,0
110,0,2
110,1,2
110,17,2
111,6,0
112,6,4
113,8,0
113,6,0
113,22,0
114,8,3
114,6,3
114,22,2
115,0,2
115,12,2
115,14,5
116,0,5
116,12,5
116,14,2
117,3,1
117,5,1
118,8,3
119,0,0
119,8,0
120,0,2
120,8,1
121,0,2
121,8,4
122,2,5
122,3,5
123,3,0
123,17,0
124,3,4
124,17,4
125,3,1
125,17,0
126,0,0
126,2,0
126,3,0
126,5,0
126,12,0
126,17,0
127,0,0
127,2,0
127,3,0
127,5,0
127,12,0
128,0,3
128,2,3
128,3,3
128,5,2
128,12,3
128,17,3
129,6,4
130,0,5
130,2,5
130,3,5
131,8,1
131,3,1
131,17,1
132,0,4
132,2,4
132,8,4
133,0,2
133,2,2
133,8,3
134,0,0
134,2,0
135,0,2
135,12,2
135,23,2
136,1,5
136,24,5
137,1,2
137,24,2
138,0,5
138,2,5
138,8,5
139,0,0
139,8,0
140,2,2
140,25,4
140,13,3
140,21,2
141,3,5
141,25,5
142,3,3
142,25,3
143,0,3
143,3,1
144,0,3
144,3,1
145,0,2
145,3,3
146,0,2
146,2,2
147,0,4
147,2,4
148,2,0
148,8,0
148,4,0
148,22,0
149,0,0
149,4,0
149,12,1
149,13,0
149,17,0
150,2,1
150,4,1
150,14,5
151,2,0
151,4,1
152,0,5
152,2,5
152,4,5
153,0,5
153,17,5
154,1,1
154,8,1
154,3,1
155,0,0
155,1,0
155,8,0
155,3,0
156,0,2
156,1,2
156,8,4
156,3,3
157,2,1
157,8,1
157,3,1
158,2,3
158,6,2
159,2,1
159,6,2
160,0,0
160,12,0
161,0,4
161,12,4
162,0,0
162,2,0
162,3,0
163,0,5
163,6,5
164,5,5
165,5,2
166,5,5
167,15,2
168,15,0
169,8,4
170,0,0
170,4,0
171,0,2
171,4,1
172,6,3
172,26,2
173,0,5
174,0,3
175,0,5
175,3,5
175,22,5
175,11,5
176,0,3
176,3,3
176,22,3
176,11,1
177,0,5
177,3,5
178,2,5
178,3,5
179,0,0
179,1,0
179,2,0
179,3,0
179,4,0
180,0,0
180,3,0
180,13,0
181,0,2
181,3,2
181,13,3
182,0,3
182,3,2
182,15,2
182,27,2
183,0,5
183,3,5
183,15,5
183,27,5
184,2,1
184,8,1
185,2,5
185,8,5
185,12,5
186,2,2
187,2,0
188,2,4
189,8,1
189,6,1
189,7,4
190,8,5
190,6,5
190,7,5
191,8,0
191,6,4
191,7,4
192,2,1
192,4,1
192,11,1
192,17,1
193,2,4
193,28,4
194,2,5
194,26,5
194,14,5
194,13,5
195,2,1
195,26,2
195,14,5
195,13,2
196,6,4
196,3,4
196,29,3
196,30,1
197,3,4
197,11,4
198,2,1
198,31,3
198,11,1
199,2,2
199,8,3
199,3,2
199,22,3
200,0,4
200,2,4
200,5,4
200,32,4
201,0,4
201,2,4
201,5,4
201,32,4
202,0,3
202,2,2
202,5,2
202,32,2
203,2,1
203,3,1
204,2,2
204,3,2
204,4,2
205,2,4
205,3,4
205,4,4
206,0,3
206,8,1
206,4,1
207,0,0
207,6,0
207,4,0
208,8,4
208,3,4
208,5,4
208,11,4
209,8,3
209,3,3
209,5,2
210,3,3
210,5,1
210,11,5
211,0,2
211,8,2
212,0,2
212,8,2
213,0,4
213,2,4
213,8,4
213,6,4
214,0,0
214,2,0
214,6,0
215,8,3
215,6,2
216,3,4
216,33,4
217,3,3
218,14,4
219,6,0
220,6,5
221,2,5
221,34,5
222,2,0
222,34,0
223,2,2
223,3,2
223,25,3
223,12,3
224,2,2
224,3,3
224,25,1
224,12,2
225,8,5
225,15,5
226,15,4
227,0,0
227,17,0
228,0,0
228,2,0
228,5,0
229,6,1
229,4,1
230,2,5
230,3,5
230,4,5
231,8,1
231,3,1
232,8,2
232,3,3
233,8,3
233,3,1
234,0,2
234,2,3
234,8,2
235,0,5
235,2,5
235,8,5
236,2,4
236,3,4
236,12,4
236,11,4
236,13,4
237,2,4
237,3,4
237,12,4
237,11,4
237,13,4
238,0,0
238,8,0
238,3,0
239,0,5
239,8,4
239,3,5
240,0,5
240,3,5
240,4,5
240,7,3
240,35,5
241,0,5
241,3,5
241,4,5
241,7,5
241,35,5
242,0,5
242,3,5
242,4,5
242,7,5
242,35,4
243,0,5
243,2,5
243,8,5
243,3,5
243,4,5
244,0,5
244,8,5
245,0,4
245,8,4
246,2,4
246,3,4
246,18,4
247,0,3
248,0,5
249,0,0
250,2,1
251,2,5
252,0,0
252,3,0
253,0,0
253,8,0
253,3,0
254,0,4
