item,truth
0,4
1,1
2,3
3,4
4,4
5,4
6,3
7,5
8,4
9,1
10,0
11,4
12,4
13,0
14,0
15,2
16,2
17,3
18,1
19,3
20,1
21,0
22,0
23,2
24,1
25,0
26,5
27,2
28,3
29,2
30,2
31,5
32,3
33,3
34,2
35,2
36,0
37,4
38,1
39,0
40,1
41,0
42,4
43,0
44,3
45,1
46,2
47,1
48,1
49,3
50,4
51,4
52,1
53,4
54,0
55,4
56,5
57,0
58,2
59,0
60,3
61,5
62,5
63,4
64,1
65,3
66,3
67,4
68,2
69,4
70,0
71,0
72,2
73,3
74,1
75,3
76,3
77,2
78,3
79,4
80,5
81,3
82,5
83,0
84,5
85,3
86,1
87,2
88,2
89,1
90,2
91,0
92,0
93,1
94,4
95,4
96,0
97,3
98,3
99,5
100,3
101,3
102,3
103,0
104,0
105,4
106,2
107,1
108,4
109,5
110,2
111,0
112,4
113,0
114,3
115,2
116,5
117,1
118,3
119,0
120,1
121,3
122,5
123,0
124,4
125,0
126,0
127,0
128,3
129,4
130,5
131,1
132,4
133,3
134,0
135,2
136,5
137,2
138,5
139,0
140,3
141,5
142,3
143,3
144,1
145,2
146,2
147,4
148,0
149,0
150,1
151,1
152,5
153,5
154,1
155,0
156,3
157,1
158,3
159,2
160,0
161,4
162,0
163,5
164,5
165,1
166,5
167,3
168,0
169,4
170,0
171,1
172,1
173,5
174,3
175,5
176,3
177,5
178,5
179,0
180,0
181,3
182,3
183,5
184,1
185,5
186,2
187,0
188,4
189,1
190,5
191,4
192,1
193,4
194,5
195,1
196,4
197,4
198,1
199,2
200,4
201,4
202,3
203,1
204,2
205,4
206,1
207,0
208,4
209,3
210,1
211,2
212,2
213,4
214,0
215,3
216,4
217,1
218,1
219,0
220,5
221,5
222,0
223,3
224,1
225,5
226,4
227,0
228,0
229,1
230,5
231,1
232,2
233,1
234,2
235,5
236,4
237,4
238,0
239,5
240,5
241,5
242,5
243,5
244,5
245,4
246,4
247,3
248,1
249,0
250,1
251,5
252,0
253,0
254,4
255,5
256,2
257,4
258,4
259,5
260,4
261,5
262,2
263,4
264,5
265,5
266,3
267,3
268,5
269,4
270,5
271,2
272,3
273,3
274,3
275,1
276,2
277,5
278,4
279,0
280,4
281,3
282,2
283,5
284,4
285,2
286,4
287,1
288,1
289,2
290,5
291,1
292,1
293,2
294,5
295,1
296,5
297,4
298,5
299,3
300,2
301,3
302,1
303,2
304,4
305,4
306,5
307,5
308,0
309,0
310,5
311,4
312,0
313,4
314,3
315,0
316,1
317,4
318,2
319,3
320,1
321,5
322,1
323,2
324,4
325,1
326,1
327,3
328,3
329,4
330,4
331,4
332,3
333,1
334,4
335,4
336,4
337,2
338,1
339,5
340,3
341,3
342,0
343,4
344,4
345,1
346,3
347,2
348,1
349,0
350,5
351,4
352,4
353,0
354,3
355,0
356,5
357,4
358,4
359,3
360,3
361,5
362,3
363,5
364,2
365,2
366,5
367,1
368,2
369,4
370,0
371,5
372,3
373,1
374,5
375,3
376,0
377,4
378,1
379,5
380,5
381,2
382,0
383,2
384,5
385,2
386,0
387,2
388,1
389,4
390,3
391,3
392,0
393,2
394,4
395,2
396,3
397,0
398,2
399,0
400,0
401,0
402,3
403,1
404,3
405,3
406,3
407,3
408,3
409,0
410,5
411,5
412,2
413,3
414,2
415,1
416,5
417,4
418,0
419,5
420,5
421,4
422,1
423,2
424,5
425,4
426,3
427,0
428,2
429,1
430,2
431,2
432,3
433,0
434,3
435,0
436,5
437,5
438,0
439,3
440,5
441,2
442,2
443,1
444,0
445,4
446,0
447,1
448,4
449,4
450,4
451,3
452,5
453,5
454,2
455,0
456,2
457,4
458,2
459,0
460,3
461,4
462,3
463,1
464,3
465,1
466,0
467,0
468,2
469,3
470,4
471,4
472,4
473,5
474,5
475,1
476,3
477,5
478,5
479,5
480,4
481,0
482,0
483,1
484,1
485,5
486,4
487,3
488,5
489,2
490,4
491,2
492,1
493,1
494,0
495,3
496,0
497,1
498,1
499,1
500,0
501,5
502,2
503,5
504,3
505,0
506,3
507,4
508,5
509,1
510,0
511,1
512,2
513,1
514,4
515,1
516,5
517,4
518,5
519,4
520,0
521,4
522,5
523,3
524,0
525,5
526,1
527,2
528,3
529,3
530,4
531,3
532,1
533,0
534,2
535,3
536,1
537,1
538,1
539,3
540,5
541,5
542,1
543,4
544,5
545,5
546,1
547,2
548,1
549,0
550,5
551,3
552,5
553,4
554,2
555,5
556,5
557,0
558,4
559,1
560,2
561,0
562,5
563,5
564,1
565,5
566,1
567,1
568,3
569,0
570,3
571,3
572,5
573,2
574,4
575,0
576,3
577,1
578,3
579,0
580,2
581,2
582,5
583,5
584,4
585,1
586,2
587,0
588,0
589,5
590,5
591,5
592,1
