item,worker,label
0,0,6
0,1,0
0,2,3
0,3,4
0,4,5
0,5,6
0,6,3
0,7,5
0,8,4
0,9,5
1,0,0
1,1,0
1,2,3
1,3,1
1,4,2
1,5,5
1,6,3
1,7,1
1,8,3
1,9,1
2,0,3
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,6,3
2,7,3
2,8,3
2,9,3
3,0,4
3,1,3
3,2,3
3,3,3
3,4,3
3,5,5
3,6,3
3,7,3
3,8,2
3,9,3
4,0,0
4,1,3
4,2,3
4,3,3
4,4,3
4,5,0
4,6,3
4,7,3
4,8,3
4,9,2
5,0,1
5,1,0
5,2,3
5,3,1
5,4,0
5,5,0
5,6,3
5,7,2
5,8,2
5,9,2
6,0,5
6,1,3
6,2,3
6,3,3
6,4,3
6,5,3
6,6,3
6,7,3
6,8,2
6,9,3
7,0,1
7,1,0
7,2,3
7,3,3
7,4,3
7,5,4
7,6,3
7,7,3
7,8,4
7,9,4
8,0,5
8,1,3
8,2,3
8,3,3
8,4,2
8,5,0
8,6,3
8,7,3
8,8,2
8,9,3
9,0,1
9,1,0
9,2,3
9,3,0
9,4,6
9,5,1
9,6,3
9,7,2
9,8,1
9,9,2
10,0,0
10,1,0
10,2,3
10,3,0
10,4,3
10,5,1
10,6,3
10,7,0
10,8,1
10,9,2
11,0,6
11,1,6
11,2,3
11,3,3
11,4,5
11,5,6
11,6,3
11,7,4
11,8,3
11,9,4
12,0,5
12,1,3
12,2,3
12,3,3
12,4,3
12,5,3
12,6,3
12,7,3
12,8,2
12,9,4
13,0,5
13,1,3
13,2,3
13,3,3
13,4,5
13,5,3
13,6,3
13,7,3
13,8,1
13,9,3
14,0,0
14,1,0
14,2,3
14,3,1
14,4,0
14,5,4
14,6,3
14,7,3
14,8,2
14,9,4
15,0,5
15,1,3
15,2,3
15,3,3
15,4,3
15,5,5
15,6,3
15,7,3
15,8,2
15,9,3
16,0,6
16,1,6
16,2,3
16,3,3
16,4,4
16,5,6
16,6,3
16,7,4
16,8,5
16,9,5
17,0,6
17,1,3
17,2,3
17,3,6
17,4,3
17,5,4
17,6,3
17,7,4
17,8,4
17,9,6
18,0,0
18,1,0
18,2,3
18,3,1
18,4,0
18,5,1
18,6,4
18,7,0
18,8,2
18,9,6
19,0,6
19,1,3
19,2,3
19,3,3
19,4,3
19,5,3
19,6,3
19,7,4
19,8,3
19,9,6
20,1,3
20,10,3
20,11,3
20,12,2
20,13,3
20,14,3
20,15,3
20,16,3
20,17,3
20,3,3
21,1,3
21,10,0
21,11,5
21,12,1
21,13,3
21,14,2
21,15,2
21,16,5
21,17,0
21,3,6
22,1,3
22,10,1
22,11,1
22,12,2
22,13,3
22,14,2
22,15,2
22,16,3
22,17,2
22,3,2
23,1,3
23,10,3
23,11,3
23,12,2
23,13,3
23,14,2
23,15,2
23,16,3
23,17,2
23,3,3
24,1,3
24,10,3
24,11,3
24,12,4
24,13,3
24,14,5
24,15,3
24,16,3
24,17,3
24,3,3
25,1,3
25,10,3
25,11,3
25,12,5
25,13,3
25,14,4
25,15,3
25,16,3
25,17,3
25,3,3
26,1,3
26,10,5
26,11,4
26,12,4
26,13,5
26,14,4
26,15,4
26,16,4
26,17,6
26,3,4
27,1,3
27,10,3
27,11,3
27,12,2
27,13,3
27,14,4
27,15,3
27,16,3
27,17,3
27,3,4
28,1,0
28,10,1
28,11,5
28,12,0
28,13,3
28,14,6
28,15,4
28,16,0
28,17,3
28,3,0
29,1,3
29,10,3
29,11,3
29,12,4
29,13,4
29,14,4
29,15,3
29,16,2
29,17,6
29,3,3
30,1,3
30,10,3
30,11,4
30,12,5
30,13,3
30,14,4
30,15,4
30,16,4
30,17,6
30,3,3
31,1,3
31,10,3
31,11,3
31,12,0
31,13,2
31,14,2
31,15,2
31,16,4
31,17,2
31,3,3
32,1,3
32,10,6
32,11,4
32,12,4
32,13,3
32,14,3
32,15,2
32,16,3
32,17,6
32,3,3
33,1,3
33,10,5
33,11,2
33,12,1
33,13,2
33,14,4
33,15,2
33,16,3
33,17,3
33,3,2
34,1,3
34,10,5
34,11,3
34,12,5
34,13,1
34,14,6
34,15,3
34,16,3
34,17,6
34,3,3
35,1,6
