item,truth
0,4
1,1
2,4
3,5
4,3
5,1
6,4
7,3
8,2
9,2
10,2
11,5
12,3
13,4
14,2
15,5
16,4
17,4
18,0
19,4
20,3
21,3
22,1
23,2
24,5
25,4
26,5
27,2
28,4
29,4
30,4
31,3
32,4
33,2
34,5
35,5
36,1
37,1
38,4
39,2
40,5
41,2
42,3
43,4
44,2
45,2
46,3
47,2
48,1
49,1
50,4
51,0
52,1
53,2
54,1
55,2
56,5
57,1
58,3
59,5
60,4
61,2
62,2
63,1
64,5
65,0
66,5
67,5
68,0
69,4
70,1
71,4
72,4
73,4
74,2
75,6
76,0
77,3
78,1
79,1
80,5
81,1
82,1
83,0
84,1
85,0
86,5
87,5
88,4
89,1
90,1
91,0
92,5
93,4
94,1
95,1
96,5
97,5
98,2
99,4
