item,worker,label
0,0,0
0,1,0
0,2,0
0,3,1
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,2
0,12,0
0,13,0
0,14,0
0,15,1
0,16,2
0,17,0
0,18,1
0,19,2
1,7,3
1,13,3
1,20,3
1,2,2
1,10,3
1,21,3
1,22,3
1,23,3
1,24,2
1,3,3
1,18,2
1,16,2
1,25,2
1,26,3
1,9,3
1,27,2
1,28,2
1,29,2
1,5,4
1,11,2
2,30,1
2,31,0
2,26,0
2,10,0
2,32,0
2,17,0
2,27,1
2,33,4
2,0,0
2,34,1
2,35,4
2,36,0
2,37,0
2,25,0
2,9,0
2,38,0
2,1,0
2,39,0
2,7,4
2,11,2
3,21,2
3,40,2
3,33,2
3,11,2
3,41,2
3,13,2
3,42,2
3,3,2
3,35,2
3,24,2
3,0,2
3,31,2
3,17,2
3,1,2
3,43,2
3,4,2
3,44,2
3,26,2
3,45,2
3,46,2
4,1,2
4,47,2
4,44,2
4,37,2
4,10,2
4,48,2
4,49,2
4,50,2
4,8,2
4,42,2
4,31,2
4,51,2
4,52,2
4,15,2
4,0,2
4,14,2
4,53,2
4,3,1
4,13,2
4,36,2
5,18,2
5,54,2
5,21,2
5,9,2
5,1,2
5,4,2
5,25,2
5,55,2
5,56,2
5,8,2
5,6,2
5,36,2
5,57,2
5,31,2
5,16,2
5,13,2
5,35,2
5,43,2
5,58,2
5,10,2
6,0,3
6,15,2
6,31,3
6,10,4
6,43,3
6,59,4
6,26,3
6,6,3
6,1,2
6,60,2
6,40,2
6,25,3
6,2,2
6,21,3
6,13,3
6,30,2
6,16,2
6,61,2
6,4,3
6,47,3
7,13,3
7,31,3
7,57,3
7,62,3
7,9,3
7,0,3
7,21,3
7,1,3
7,42,3
7,8,3
7,35,3
7,17,3
7,49,3
7,5,3
7,63,3
7,15,1
7,58,3
7,33,3
7,64,3
7,61,3
8,65,3
8,9,3
8,2,3
8,31,3
8,66,1
8,15,1
8,44,3
8,36,3
8,58,0
8,21,3
8,67,3
8,1,1
8,28,1
8,13,3
8,18,1
8,35,3
8,5,3
8,68,3
8,40,1
8,52,4
9,41,3
9,1,1
9,2,3
9,21,1
9,8,1
9,16,2
9,43,3
9,0,1
9,34,1
9,69,1
9,10,3
9,31,3
9,38,3
9,44,3
9,40,1
9,42,3
9,56,3
9,13,1
9,28,1
9,11,2
10,33,1
10,57,2
10,2,2
10,0,1
10,19,2
10,60,1
10,9,3
10,70,3
10,1,2
10,20,1
10,26,2
10,13,1
10,41,1
10,11,2
10,56,2
10,46,1
10,67,2
10,18,1
10,58,1
10,43,3
11,71,1
11,35,3
11,70,3
11,42,3
11,43,2
11,58,3
11,2,2
11,41,3
11,38,4
11,40,3
11,31,1
11,8,2
11,72,2
11,18,0
11,9,3
11,15,2
11,55,2
11,13,1
11,33,3
11,21,3
12,49,3
12,7,3
12,21,3
12,32,3
12,0,3
12,46,3
12,48,3
12,44,3
12,43,3
12,8,3
12,10,3
12,13,3
12,9,3
12,31,3
12,63,3
12,67,3
12,38,3
12,25,3
12,35,3
12,47,3
13,17,1
13,35,4
13,4,4
13,18,0
13,31,2
13,63,4
13,6,1
13,26,0
13,7,1
13,57,1
13,58,1
13,27,1
13,36,0
13,1,4
13,21,4
13,30,0
13,9,0
13,12,0
13,10,0
13,40,1
14,47,1
14,26,1
14,0,1
14,38,1
14,11,2
14,10,4
14,12,1
14,7,0
14,73,1
14,69,1
14,2,1
14,35,1
14,31,1
14,74,0
14,42,1
14,15,1
14,75,1
14,9,1
14,4,3
14,1,1
15,32,0
15,2,0
15,43,0
15,31,0
15,18,0
15,21,0
15,61,0
15,3,0
15,67,0
15,76,0
15,33,0
15,0,0
15,8,0
15,30,0
15,41,0
15,58,0
15,52,0
15,9,0
15,26,0
15,13,0
16,15,3
16,21,1
16,17,0
16,42,1
16,4,1
16,26,1
16,77,1
16,7,1
16,51,1
16,9,1
16,13,1
16,40,1
16,16,2
16,0,1
16,67,1
16,56,1
16,31,0
16,36,1
16,73,1
16,59,1
17,55,3
17,24,3
17,31,3
17,70,3
17,0,3
17,12,1
17,7,3
17,36,3
17,35,3
17,48,3
17,42,3
17,8,3
17,38,3
17,32,3
17,78,3
17,47,3
17,16,2
17,30,3
17,41,3
17,13,3
18,18,0
18,31,0
18,55,0
18,57,0
18,79,0
18,8,0
18,13,0
18,1,0
18,32,0
18,76,0
18,2,0
18,58,0
18,52,0
18,27,0
18,6,0
18,46,0
18,26,0
18,30,0
18,80,0
18,17,0
19,17,4
19,58,1
19,81,1
19,30,1
19,70,1
19,32,1
19,26,1
19,62,1
19,7,1
19,41,1
19,33,4
19,42,1
19,21,1
19,1,1
19,10,1
19,3,1
19,12,1
19,31,1
19,13,1
19,14,1
20,1,3
20,58,3
20,43,3
20,32,3
20,56,3
20,37,1
20,21,3
20,9,3
20,35,3
20,46,3
20,4,3
20,38,3
20,25,3
20,10,3
20,60,3
20,3,4
20,13,3
20,0,3
20,8,3
20,31,3
21,35,2
21,1,2
21,31,3
21,4,3
21,27,2
21,57,3
21,73,2
21,10,3
21,55,2
21,21,3
21,61,2
21,40,2
21,26,2
21,15,2
21,56,2
21,41,2
21,30,2
21,33,3
21,42,2
21,9,2
22,21,2
22,36,1
22,67,3
22,57,1
22,55,2
22,43,1
22,0,1
22,26,2
22,11,2
22,3,1
22,81,1
22,27,2
22,50,2
22,52,2
22,18,2
22,33,2
22,56,1
22,77,1
22,1,1
22,42,3
23,17,1
23,30,2
23,26,3
23,50,2
23,31,4
23,27,4
23,40,2
23,15,2
23,53,3
23,21,2
23,58,2
23,57,1
23,10,3
23,13,3
23,7,3
23,6,3
23,36,3
23,20,4
23,55,4
23,0,3
24,57,1
24,13,0
24,9,2
24,31,0
24,10,0
24,28,0
24,36,0
24,60,0
24,61,0
24,40,0
24,76,1
24,11,2
24,17,4
24,0,0
24,58,0
24,33,0
24,18,0
24,21,4
24,43,0
24,26,2
25,27,0
25,26,3
25,16,2
25,56,3
25,82,0
25,38,3
25,52,0
25,8,3
25,35,3
25,42,3
25,72,3
25,33,3
25,66,0
25,21,3
25,20,3
25,7,3
25,73,3
25,31,3
25,43,3
25,18,2
26,58,3
26,76,3
26,60,3
26,0,3
26,25,3
26,4,3
26,9,3
26,33,3
26,20,3
26,36,3
26,8,3
26,83,3
26,17,3
26,38,3
26,7,3
26,31,3
26,21,3
26,3,3
26,32,3
26,13,3
27,4,0
27,43,0
27,12,0
27,46,0
27,21,0
27,22,0
27,2,0
27,26,0
27,68,0
27,28,0
27,11,2
27,31,0
27,9,0
27,35,0
27,57,1
27,8,0
27,18,0
27,55,0
27,42,0
27,40,0
28,26,1
28,13,1
28,58,1
28,84,1
28,33,1
28,74,1
28,55,1
28,30,1
28,68,1
28,31,1
28,60,1
28,10,1
28,4,1
28,85,1
28,9,1
28,62,1
28,17,1
28,21,1
28,35,1
28,28,1
29,57,3
29,4,3
29,73,2
29,36,3
29,53,4
29,23,3
29,70,2
29,35,2
29,55,1
29,41,3
29,26,3
29,13,1
29,25,2
29,0,3
29,7,1
29,11,2
29,5,2
29,17,1
29,31,3
29,18,2
30,12,1
30,0,3
30,21,1
30,13,1
30,33,3
30,58,3
30,30,1
30,31,3
30,55,4
30,80,1
30,1,2
30,10,3
30,41,3
30,4,4
30,18,0
30,46,3
30,3,3
30,60,1
30,86,3
30,40,4
31,5,2
31,32,0
