item,worker,label
0,0,4
0,1,0
0,2,2
0,3,2
0,4,3
0,5,4
0,6,2
0,7,3
0,8,3
0,9,4
1,0,0
1,1,0
1,2,2
1,3,1
1,4,1
1,5,4
1,6,2
1,7,1
1,8,2
1,9,0
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
3,0,3
3,1,2
3,2,2
3,3,2
3,4,2
3,5,4
3,6,2
3,7,2
3,8,2
3,9,2
4,0,0
4,1,2
4,2,2
4,3,2
4,4,2
4,5,0
4,6,2
4,7,2
4,8,2
4,9,2
5,0,0
5,1,0
5,2,2
5,3,1
5,4,0
5,5,0
5,6,2
5,7,2
5,8,1
5,9,1
6,0,3
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,1
6,9,2
7,0,1
7,1,0
7,2,2
7,3,2
7,4,2
7,5,2
7,6,2
7,7,2
7,8,3
7,9,3
8,0,3
8,1,2
8,2,2
8,3,2
8,4,1
8,5,0
8,6,2
8,7,2
8,8,1
8,9,2
9,0,1
9,1,0
9,2,2
9,3,0
9,4,4
9,5,1
9,6,2
9,7,2
9,8,1
9,9,1
10,0,0
10,1,0
10,2,2
10,3,0
10,4,2
10,5,1
10,6,2
10,7,0
10,8,1
10,9,1
11,0,4
11,1,4
11,2,2
11,3,2
11,4,3
11,5,4
11,6,2
11,7,2
11,8,2
11,9,3
12,0,3
12,1,2
12,2,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,1
12,9,2
13,0,3
13,1,2
13,2,2
13,3,2
13,4,3
13,5,2
13,6,2
13,7,2
13,8,1
13,9,2
14,0,0
14,1,0
14,2,2
14,3,1
14,4,0
14,5,2
14,6,2
14,7,2
14,8,2
14,9,3
15,0,3
15,1,2
15,2,2
15,3,2
15,4,2
15,5,4
15,6,2
15,7,2
15,8,1
15,9,2
16,0,4
16,1,4
16,2,2
16,3,2
16,4,3
16,5,4
16,6,2
16,7,3
16,8,3
16,9,3
17,0,4
17,1,2
17,2,2
17,3,4
17,4,2
17,5,2
17,6,2
17,7,3
17,8,3
17,9,4
18,0,0
18,1,0
18,2,2
18,3,0
18,4,0
18,5,1
18,6,3
18,7,0
18,8,1
18,9,4
19,0,4
19,1,2
